Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675714889.1882362,637,73291,73291,GPS1_Frame,42.33700866666666,-71.090022,1.16,45.6,327822.04586167575,4689310.49167598,19,T
1675714890.1902418,638,73292,73292,GPS1_Frame,42.33700933333333,-71.0900245,1.16,45.5,327821.84172022145,4689310.570766427,19,T
1675714891.184876,639,73293,73293,GPS1_Frame,42.33700966666667,-71.09002766666667,1.16,45.2,327821.5817461016,4689310.614192672,19,T
1675714892.1865354,640,73294,73294,GPS1_Frame,42.33701033333333,-71.0900315,1.16,45.3,327821.26775881794,4689310.695982976,19,T
1675714893.1849406,641,73295,73295,GPS1_Frame,42.337011,-71.09003966666667,1.27,44.8,327820.59677257045,4689310.7865478145,19,T
1675714894.1865897,642,73296,73296,GPS1_Frame,42.337012,-71.09004966666666,1.16,45.1,327819.7756580736,4689310.917839168,19,T
1675714895.1862342,643,73297,73297,GPS1_Frame,42.33701333333333,-71.09006166666667,0.98,45.3,327818.79068461416,4689311.090194568,19,T
1675714896.1900926,644,73298,73298,GPS1_Frame,42.337016666666656,-71.09006783333332,1.16,45.0,327818.29174531426,4689311.472822828,19,T
1675714897.1866894,645,73299,73299,GPS1_Frame,42.3370175,-71.0900765,1.16,44.6,327817.5800218646,4689311.582907486,19,T
1675714898.183586,646,73300,73300,GPS1_Frame,42.337015666666666,-71.090088,0.98,44.3,327816.6275978471,4689311.402616517,19,T
1675714899.1846325,647,73301,73301,GPS1_Frame,42.33701583333333,-71.0900975,1.16,43.6,327815.8454012055,4689311.440360543,19,T
1675714900.1836603,648,73302,73302,GPS1_Frame,42.33701733333334,-71.09010683333332,1.16,43.7,327815.080574436,4689311.625823678,19,T
1675714901.1848078,649,73303,73303,GPS1_Frame,42.33701816666667,-71.09011749999999,1.16,43.0,327814.2040822989,4689311.7399585955,19,T
1675714902.1849604,650,73304,73304,GPS1_Frame,42.337019666666656,-71.09012666666666,1.16,42.6,327813.45298632176,4689311.925084414,19,T
1675714903.1852992,651,73305,73305,GPS1_Frame,42.337022,-71.09013566666665,1.16,42.0,327812.71789560025,4689312.202408137,19,T
1675714904.1841457,652,73306,73306,GPS1_Frame,42.337023833333326,-71.09014616666667,1.27,41.7,327811.8578636905,4689312.427248237,19,T
1675714905.1854644,653,73307,73307,GPS1_Frame,42.337022833333336,-71.09015466666666,1.16,41.4,327811.1548672026,4689312.33341835,19,T
1675714906.187065,654,73308,73308,GPS1_Frame,42.337022499999996,-71.0901645,1.16,41.0,327810.34384449327,4689312.316316804,19,T
1675714907.1843052,655,73309,73309,GPS1_Frame,42.337025,-71.09017016666667,1.16,40.5,327809.8838233596,4689312.605397854,19,T
1675714908.184084,656,73310,73310,GPS1_Frame,42.337025,-71.09017733333333,1.16,40.3,327809.29340211325,4689312.619910513,19,T
1675714909.1821544,657,73311,73311,GPS1_Frame,42.337026833333326,-71.09018599999999,1.16,40.1,327808.5844083326,4689312.841038475,19,T
1675714910.1849394,658,73312,73312,GPS1_Frame,42.33702566666666,-71.090196,0.98,40.0,327807.7573803724,4689312.731739416,19,T
1675714911.183651,659,73313,73313,GPS1_Frame,42.337027166666665,-71.090205,1.16,39.7,327807.0200153641,4689312.916528424,19,T
1675714912.1856208,660,73314,73314,GPS1_Frame,42.337028,-71.0902105,1.16,38.9,327806.56917597284,4689313.020201549,19,T
1675714913.1833465,661,73315,73315,GPS1_Frame,42.337030000000006,-71.09021716666666,1.16,38.4,327806.0254059293,4689313.255786725,19,T
1675714914.1833067,662,73316,73316,GPS1_Frame,42.3370325,-71.09022666666667,1.16,38.4,327805.24957834464,4689313.55263084,19,T
1675714915.1844907,663,73317,73317,GPS1_Frame,42.33703416666667,-71.09023666666667,1.16,38.6,327804.43028404575,4689313.757952265,19,T
1675714916.1841292,664,73318,73318,GPS1_Frame,42.337031333333336,-71.09024550000001,1.06,39.3,327803.69482195226,4689313.461220448,19,T
1675714917.183836,665,73319,73319,GPS1_Frame,42.337030166666665,-71.090253,1.27,39.0,327803.0737548428,4689313.346859216,19,T
1675714918.185118,666,73320,73320,GPS1_Frame,42.337029,-71.09026050000001,0.98,38.6,327802.4526877083,4689313.232498036,19,T
1675714919.1876001,667,73321,73321,GPS1_Frame,42.33703033333333,-71.09026766666666,1.16,38.3,327801.86590591754,4689313.395067835,19,T
1675714920.1828952,668,73322,73322,GPS1_Frame,42.33703366666667,-71.0902755,1.16,37.4,327801.22966039716,4689313.781072535,19,T
1675714921.1843593,669,73323,73323,GPS1_Frame,42.33703533333334,-71.09028133333332,1.16,37.2,327800.7536343332,4689313.977956397,19,T
1675714922.1843743,670,73324,73324,GPS1_Frame,42.337037333333335,-71.09028983333333,1.16,36.8,327800.05882656935,4689314.217254778,19,T
1675714923.18369,671,73325,73325,GPS1_Frame,42.337039999999995,-71.09029650000001,1.16,36.4,327799.51687654585,4689314.526868725,19,T
1675714924.1910467,672,73326,73326,GPS1_Frame,42.337042000000004,-71.09030483333332,1.16,35.9,327798.8357996004,4689314.765829708,19,T
1675714925.1876197,673,73327,73327,GPS1_Frame,42.33704183333332,-71.090313,1.16,35.8,327798.1625392302,4689314.763861394,19,T
1675714926.1839864,674,73328,73328,GPS1_Frame,42.33704250000001,-71.09032066666667,1.16,35.2,327797.5327457243,4689314.853415888,19,T
1675714927.178634,675,73329,73329,GPS1_Frame,42.33704183333332,-71.09032966666668,1.16,35.4,327796.7894669187,4689314.797614151,19,T
1675714928.1855147,676,73330,73330,GPS1_Frame,42.33704250000001,-71.09033866666667,1.16,35.3,327796.049827641,4689314.889869009,19,T
1675714929.1814785,677,73331,73331,GPS1_Frame,42.33704233333333,-71.09034750000001,1.16,35.0,327795.32164437853,4689314.889251091,19,T
1675714930.1857066,678,73332,73332,GPS1_Frame,42.337043333333334,-71.09035650000001,1.16,35.0,327794.58291501517,4689315.018520234,19,T
1675714931.1832821,679,73333,73333,GPS1_Frame,42.33704366666666,-71.09036366666666,1.16,34.7,327793.9934038329,4689315.070048315,19,T
1675714932.1922247,680,73334,73334,GPS1_Frame,42.337045999999994,-71.09037216666667,1.16,34.2,327793.299506275,4689315.346361504,19,T
1675714933.185065,681,73335,73335,GPS1_Frame,42.337044500000005,-71.09038416666667,0.98,34.6,327792.3067996966,4689315.204100574,19,T
1675714934.1848598,682,73336,73336,GPS1_Frame,42.33704550000001,-71.09039349999999,1.16,34.1,327791.54060896096,4689315.334045114,19,T
1675714935.1831164,683,73337,73337,GPS1_Frame,42.33704566666667,-71.09040066666667,1.16,33.7,327790.95064285526,4689315.367066391,19,T
1675714936.1833935,684,73338,73338,GPS1_Frame,42.337045833333335,-71.090412,0.98,33.4,327790.0174086933,4689315.408526263,19,T
1675714937.1829355,685,73339,73339,GPS1_Frame,42.337044666666664,-71.09042233333334,1.0,33.3,327789.1629191821,4689315.299904482,19,T
1675714938.1800814,686,73340,73340,GPS1_Frame,42.3370435,-71.0904305,1.16,33.1,327788.4869290341,4689315.186894715,19,T
1675714939.1883912,687,73341,73341,GPS1_Frame,42.33704566666667,-71.09043833333334,0.98,32.7,327787.8474996009,4689315.443351206,19,T
1675714940.1789165,688,73342,73342,GPS1_Frame,42.337048833333334,-71.09044383333334,1.16,32.1,327787.4030301166,4689315.806124478,19,T
1675714941.1817496,689,73343,73343,GPS1_Frame,42.33705,-71.09045116666667,1.16,31.8,327786.8020631353,4689315.950526038,19,T
1675714942.1868188,690,73344,73344,GPS1_Frame,42.33705066666666,-71.09045983333334,0.98,31.7,327786.0898854964,4689316.042106856,19,T
1675714943.1835067,691,73345,73345,GPS1_Frame,42.3370525,-71.09046716666667,1.16,31.4,327785.4907384409,4689316.26053679,19,T
1675714944.185441,692,73346,73346,GPS1_Frame,42.33705366666666,-71.090475,1.16,31.3,327784.84857936855,4689316.405951175,19,T
1675714945.1853178,693,73347,73347,GPS1_Frame,42.33705483333333,-71.09048516666667,1.16,31.4,327784.0141902319,4689316.556091374,19,T
1675714946.1849961,694,73348,73348,GPS1_Frame,42.337056,-71.09049416666667,1.16,31.4,327783.2759161671,4689316.703868782,19,T
1675714947.1845553,695,73349,73349,GPS1_Frame,42.33705533333333,-71.09050116666667,1.16,31.4,327782.6974060077,4689316.644017881,19,T
1675714948.1836073,696,73350,73350,GPS1_Frame,42.337056,-71.0905105,1.15,31.7,327781.9303055912,4689316.736949353,19,T
1675714949.180463,697,73351,73351,GPS1_Frame,42.337057,-71.09051933333333,1.27,31.6,327781.20530731487,4689316.865882359,19,T
1675714950.1867836,698,73352,73352,GPS1_Frame,42.33705799999999,-71.09053116666668,1.15,32.0,327780.23315610655,4689317.000891544,19,T
1675714951.1839502,699,73353,73353,GPS1_Frame,42.33705816666667,-71.09054250000001,1.27,32.1,327779.2999221487,4689317.042352853,19,T
1675714952.1848526,700,73354,73354,GPS1_Frame,42.337058999999996,-71.09055033333334,1.07,32.1,327778.6568532683,4689317.1507536825,19,T
1675714953.1844122,701,73355,73355,GPS1_Frame,42.337060333333326,-71.09055733333334,1.27,31.7,327778.0838029724,4689317.312987935,19,T
1675714954.1821165,702,73356,73356,GPS1_Frame,42.33706,-71.09056716666667,1.07,32.0,327777.2727805494,4689317.295890232,19,T
1675714955.1859212,703,73357,73357,GPS1_Frame,42.33706133333333,-71.09057516666667,1.27,31.6,327776.61734597676,4689317.46015001,19,T
1675714956.184448,704,73358,73358,GPS1_Frame,42.33706016666667,-71.09058716666667,1.07,32.2,327775.6255492221,4689317.354905569,19,T
1675714957.1830869,705,73359,73359,GPS1_Frame,42.33706116666667,-71.09059416666668,1.27,32.0,327775.0515890003,4689317.480125942,19,T
1675714958.1846876,706,73360,73360,GPS1_Frame,42.33706399999999,-71.09060016666668,1.07,31.7,327774.56501811603,4689317.806898637,19,T
1675714959.1856232,707,73361,73361,GPS1_Frame,42.33706533333334,-71.09061033333334,1.07,32.0,327773.7310843023,4689317.975547138,19,T
1675714960.1802227,708,73362,73362,GPS1_Frame,42.337066500000006,-71.09061933333334,1.27,32.1,327772.9928105511,4689318.123325642,19,T
