Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675710175.206053,28,68578,68578,GPS1_Frame,42.33897116666667,-71.08806783333333,1.07,49.0,327988.38988876046,4689524.457267853,19,T
1675710176.2037888,29,68579,68579,GPS1_Frame,42.33897733333333,-71.08806583333333,1.07,48.8,327988.57146756677,4689525.137983354,19,T
1675710177.1993506,30,68580,68580,GPS1_Frame,42.3389835,-71.08806416666667,1.07,48.7,327988.7255857489,4689525.819373189,19,T
1675710178.2016788,31,68581,68581,GPS1_Frame,42.33898966666667,-71.08806316666667,1.07,48.7,327988.8247827157,4689526.502111686,19,T
1675710179.2029154,32,68582,68582,GPS1_Frame,42.33899483333333,-71.08806266666667,1.07,48.8,327988.880061997,4689527.074819274,19,T
1675710180.2124841,33,68583,68583,GPS1_Frame,42.33899933333334,-71.08806216666667,1.23,48.8,327988.93352341827,4689527.5734985955,19,T
1675710181.2039106,34,68584,68584,GPS1_Frame,42.33900066666667,-71.08806016666668,1.15,48.6,327989.1019226643,4689527.71750916,19,T
1675710182.2071896,35,68585,68585,GPS1_Frame,42.33900233333334,-71.08805883333333,1.02,48.6,327989.216309657,4689527.89988252,19,T
1675710183.2064545,36,68586,68586,GPS1_Frame,42.339004333333335,-71.0880565,1.02,48.4,327989.41398733074,4689528.117247032,19,T
1675710184.205808,37,68587,68587,GPS1_Frame,42.3390065,-71.08805483333335,1.02,48.2,327989.5571982813,4689528.354467271,19,T
1675710185.2066338,38,68588,68588,GPS1_Frame,42.339007499999994,-71.08805483333335,1.02,48.1,327989.5599250572,4689528.465509672,19,T
1675710186.2084904,39,68589,68589,GPS1_Frame,42.3390095,-71.08805383333333,1.02,48.1,327989.64776036504,4689528.6855715,19,T
1675710187.205701,40,68590,68590,GPS1_Frame,42.33901316666667,-71.08805366666667,1.23,48.2,327989.67148883117,4689529.092389815,19,T
1675710188.2020838,41,68591,68591,GPS1_Frame,42.33901649999999,-71.08805433333333,1.02,48.3,327989.6256569178,4689529.463879813,19,T
1675710189.2044728,42,68592,68592,GPS1_Frame,42.33901633333333,-71.08805333333333,1.16,48.3,327989.7075842019,4689529.4433497675,19,T
1675710190.2090683,43,68593,68593,GPS1_Frame,42.33901666666667,-71.088053,1.02,48.3,327989.7359537082,4689529.479689577,19,T
1675710191.2111695,44,68594,68594,GPS1_Frame,42.33901716666666,-71.08805233333332,1.02,48.2,327989.79223825963,4689529.533862125,19,T
1675710192.2074559,45,68595,68595,GPS1_Frame,42.33901833333333,-71.08805233333332,1.02,48.1,327989.79541949515,4689529.663411597,19,T
1675710193.205002,46,68596,68596,GPS1_Frame,42.33901933333333,-71.08805216666666,1.23,48.1,327989.81187655864,4689529.7741168365,19,T
1675710194.2061555,47,68597,68597,GPS1_Frame,42.33902116666666,-71.08805216666666,1.23,48.1,327989.8168756428,4689529.977694576,19,T
1675710195.2045443,48,68598,68598,GPS1_Frame,42.33902383333334,-71.088053,1.02,48.2,327989.75549559057,4689530.275493469,19,T
1675710196.2109323,49,68599,68599,GPS1_Frame,42.33902733333333,-71.08805483333335,1.02,48.5,327989.61400612514,4689530.667850675,19,T
1675710197.215292,50,68600,68600,GPS1_Frame,42.33903,-71.0880565,1.02,48.7,327989.48397465074,4689530.967335388,19,T
1675710198.205686,51,68601,68601,GPS1_Frame,42.339032333333336,-71.0880575,1.02,48.9,327989.40795541013,4689531.228457313,19,T
1675710199.2047613,52,68602,68602,GPS1_Frame,42.33903266666666,-71.08805933333333,1.02,48.7,327989.25783117546,4689531.269180251,19,T
1675710200.2070818,53,68603,68603,GPS1_Frame,42.339033333333326,-71.08806183333333,1.02,48.5,327989.0536947206,4689531.348265985,19,T
1675710201.2056112,54,68604,68604,GPS1_Frame,42.339034000000005,-71.088065,1.02,48.3,327988.7946371202,4689531.4287003875,19,T
1675710202.2073312,55,68605,68605,GPS1_Frame,42.33903466666667,-71.08806833333333,1.02,48.2,327988.52184923855,4689531.509471963,19,T
1675710203.2064168,56,68606,68606,GPS1_Frame,42.33903516666666,-71.088071,1.02,48.0,327988.30352804484,4689531.570387817,19,T
1675710204.2069187,57,68607,68607,GPS1_Frame,42.33903583333334,-71.08807383333333,1.02,47.9,327988.07193103514,4689531.650147915,19,T
1675710205.205738,58,68608,68608,GPS1_Frame,42.339036500000006,-71.08807666666667,1.02,47.7,327987.84033402824,4689531.729908018,19,T
1675710206.2014678,59,68609,68609,GPS1_Frame,42.33903733333333,-71.08807866666666,1.23,47.7,327987.67784292984,4689531.826489359,19,T
1675710207.2072446,60,68610,68610,GPS1_Frame,42.339037999999995,-71.08808066666667,1.02,47.7,327987.51489736524,4689531.904563637,19,T
1675710208.204855,61,68611,68611,GPS1_Frame,42.33903866666666,-71.0880825,1.02,47.9,327987.36568209,4689531.982300752,19,T
1675710209.2064478,62,68612,68612,GPS1_Frame,42.33903883333334,-71.08808416666668,1.02,47.9,327987.2288336958,4689532.004179501,19,T
1675710210.2057912,63,68613,68613,GPS1_Frame,42.339040999999995,-71.088086,1.23,48.3,327987.08370865544,4689532.248480226,19,T
1675710211.2046032,64,68614,68614,GPS1_Frame,42.33904333333333,-71.08808966666668,1.02,48.6,327986.78800495743,4689532.5149968825,19,T
1675710212.2045054,65,68615,68615,GPS1_Frame,42.33904600000001,-71.08809183333332,1.02,48.8,327986.61678278615,4689532.815493163,19,T
1675710213.2007482,66,68616,68616,GPS1_Frame,42.33905166666667,-71.08809016666667,1.02,48.5,327986.7695376386,4689533.44136176,19,T
1675710214.2019875,67,68617,68617,GPS1_Frame,42.3390565,-71.08808833333333,1.23,48.3,327986.9337503979,4689533.974357854,19,T
1675710215.2072392,68,68618,68618,GPS1_Frame,42.33906166666667,-71.0880945,1.02,49.1,327986.4398185738,4689534.560552212,19,T
1675710216.2046914,69,68617,68617,GPS1_Frame,42.33906683333333,-71.08809633333334,1.02,49.2,327986.30287411774,4689535.13798017,19,T
1675710217.2002873,70,68618,68618,GPS1_Frame,42.33907183333334,-71.08809566666667,1.02,49.2,327986.3714294003,4689535.691843515,19,T
1675710218.2029617,71,68619,68619,GPS1_Frame,42.33907483333334,-71.08809583333333,1.07,49.2,327986.36587962287,4689536.0253079,19,T
1675710219.202051,72,68620,68620,GPS1_Frame,42.339077333333336,-71.08809533333333,1.07,49.2,327986.4138875405,4689536.3019024,19,T
1675710220.2031827,73,68621,68621,GPS1_Frame,42.33907883333333,-71.08809333333333,1.07,49.3,327986.5827411179,4689536.46441997,19,T
1675710221.2022989,74,68622,68622,GPS1_Frame,42.33908183333333,-71.08809083333334,1.07,49.2,327986.7968757608,4689536.79248964,19,T
1675710222.2122803,75,68623,68623,GPS1_Frame,42.33908366666666,-71.08808833333333,1.07,49.1,327987.007829092,4689536.991009846,19,T
1675710223.205895,76,68624,68624,GPS1_Frame,42.339084666666665,-71.08808483333334,1.07,49.1,327987.2988917143,4689537.094971711,19,T
1675710224.2026038,77,68625,68625,GPS1_Frame,42.339085833333336,-71.08808366666668,1.07,49.2,327987.39818493533,4689537.222161006,19,T
1675710225.205219,78,68626,68626,GPS1_Frame,42.33908616666666,-71.0880815,1.07,49.5,327987.57758746133,4689537.254791957,19,T
1675710226.20194,79,68627,68627,GPS1_Frame,42.33908666666666,-71.08807916666666,1.07,49.8,327987.77117473184,4689537.3055928135,19,T
1675710227.205813,80,68628,68628,GPS1_Frame,42.339085833333336,-71.08807499999999,1.02,50.3,327988.1121592863,4689537.204628299,19,T
1675710228.202323,81,68629,68629,GPS1_Frame,42.33908683333334,-71.088072,1.02,50.5,327988.36203105486,4689537.309601708,19,T
1675710229.2038736,82,68630,68630,GPS1_Frame,42.33908499999999,-71.08806833333333,1.07,51.3,327988.6590979913,4689537.098606314,19,T
1675710230.2052891,83,68631,68631,GPS1_Frame,42.3390835,-71.0880655,1.07,52.0,327988.88842249365,4689536.926310896,19,T
1675710231.2046268,84,68632,68632,GPS1_Frame,42.339082999999995,-71.08806433333332,1.07,52.6,327988.9831710346,4689536.868429536,19,T
1675710232.204545,85,68633,68633,GPS1_Frame,42.33908266666667,-71.0880635,1.02,53.1,327989.0509134856,4689536.829729576,19,T
1675710233.2027702,86,68634,68634,GPS1_Frame,42.339082999999995,-71.08806133333333,1.07,53.4,327989.2303160116,4689536.862360571,19,T
1675710234.2165198,87,68635,68635,GPS1_Frame,42.33907983333334,-71.08806216666667,1.31,53.2,327989.1530297948,4689536.512412113,19,T
1675710235.2051342,88,68636,68636,GPS1_Frame,42.33907850000001,-71.08806216666667,1.62,52.7,327989.1493940756,4689536.3643555725,19,T
1675710236.207327,89,68637,68637,GPS1_Frame,42.33907766666666,-71.08806333333334,1.21,52.4,327989.05100980715,4689536.274180389,19,T
1675710237.204945,90,68638,68638,GPS1_Frame,42.3390765,-71.08806483333333,1.21,52.2,327988.92425605,4689536.147665403,19,T
1675710238.2053258,91,68639,68639,GPS1_Frame,42.33907599999999,-71.0880665,1.21,51.8,327988.7855898737,4689536.09551585,19,T
1675710239.2050087,92,68640,68640,GPS1_Frame,42.33907533333333,-71.08806733333333,1.21,51.4,327988.7151206187,4689536.023173409,19,T
1675710240.211193,93,68641,68641,GPS1_Frame,42.339074,-71.08806766666666,1.02,51.1,327988.6840243344,4689535.8757911995,19,T
1675710241.2063503,94,68642,68642,GPS1_Frame,42.3390735,-71.08806849999999,1.21,50.8,327988.6140095425,4689535.821955826,19,T
1675710242.2120347,95,68643,68643,GPS1_Frame,42.33907299999999,-71.08806866666667,1.02,50.4,327988.59891586535,4689535.766771789,19,T
1675710243.2068958,96,68644,68644,GPS1_Frame,42.33907183333334,-71.08806899999999,1.29,50.2,327988.5682740442,4689535.6378966505,19,T
1675710244.205363,97,68645,68645,GPS1_Frame,42.33907166666666,-71.08807,1.21,49.9,327988.4854379012,4689535.621412576,19,T
1675710245.2101145,98,68646,68646,GPS1_Frame,42.33907133333334,-71.08807083333333,1.21,49.6,327988.4158775741,4689535.586084272,19,T
1675710246.2031865,99,68647,68647,GPS1_Frame,42.33907116666666,-71.08807116666667,1.16,49.3,327988.38796254975,4689535.568251536,19,T
1675710247.2099087,100,68648,68648,GPS1_Frame,42.339071,-71.08807166666666,1.16,48.9,327988.3463172463,4689535.550755967,19,T
1675710248.2080247,101,68649,68649,GPS1_Frame,42.33907016666667,-71.08807266666666,1.18,48.5,327988.2616632333,4689535.460243628,19,T
1675710249.2112582,102,68650,68650,GPS1_Frame,42.33906966666667,-71.08807366666666,1.1,48.1,327988.17791815696,4689535.406745424,19,T
1675710250.2112324,103,68651,68651,GPS1_Frame,42.33907016666667,-71.08807483333334,1.1,47.7,327988.0831696012,4689535.464626793,19,T
1675710251.2125576,104,68652,68652,GPS1_Frame,42.33906999999999,-71.088076,1.18,47.4,327987.98660317995,4689535.448479893,19,T
1675710252.2134693,105,68653,68653,GPS1_Frame,42.33906983333333,-71.08807700000001,1.1,47.1,327987.9037670331,4689535.431995829,19,T
