Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675715184.1818314,799,73586,73586,GPS1_Frame,42.33708933333334,-71.09047016666666,1.01,31.6,327785.3441342525,4689320.356673962,19,T
1675715185.178268,800,73587,73587,GPS1_Frame,42.33708933333334,-71.09046983333333,1.09,31.3,327785.3715956777,4689320.355998859,19,T
1675715186.179935,801,73588,73588,GPS1_Frame,42.337089500000005,-71.09046983333333,1.09,30.9,327785.3720506497,4689320.374505924,19,T
1675715187.1813414,802,73589,73589,GPS1_Frame,42.337089500000005,-71.09047000000001,1.09,30.6,327785.35831993714,4689320.374843475,19,T
1675715188.1797001,803,73590,73590,GPS1_Frame,42.33708983333333,-71.09047033333333,1.09,30.4,327785.3317684562,4689320.412532706,19,T
1675715189.1832402,804,73591,73591,GPS1_Frame,42.33708983333333,-71.09047066666668,1.09,30.1,327785.3043070291,4689320.413207809,19,T
1675715190.1792464,805,73592,73592,GPS1_Frame,42.33709016666667,-71.09047083333333,1.09,30.0,327785.29148626106,4689320.450559491,19,T
1675715191.176708,806,73593,73593,GPS1_Frame,42.33709050000001,-71.090471,1.09,29.8,327785.2786654931,4689320.487911173,19,T
1675715192.1782131,807,73594,73594,GPS1_Frame,42.337090999999994,-71.09047116666667,1.09,29.7,327785.2662996955,4689320.543769916,19,T
1675715193.1797953,808,73595,73595,GPS1_Frame,42.3370915,-71.09047133333334,1.09,29.6,327785.2539339002,4689320.599628664,19,T
1675715194.1808403,809,73596,73596,GPS1_Frame,42.337092,-71.09047149999999,1.09,29.4,327785.2415681052,4689320.655487408,19,T
1675715195.1798263,810,73597,73597,GPS1_Frame,42.337092500000004,-71.09047183333334,1.09,29.3,327785.21547159844,4689320.711683705,19,T
1675715196.1759875,811,73598,73598,GPS1_Frame,42.337093,-71.09047233333334,1.09,29.1,327785.1756443804,4689320.768217555,19,T
1675715197.17984,812,73599,73599,GPS1_Frame,42.33709366666667,-71.09047266666667,1.09,28.9,327785.1500028473,4689320.842920919,19,T
1675715198.1842942,813,73600,73600,GPS1_Frame,42.33709433333333,-71.09047283333332,1.09,28.7,327785.13809202635,4689320.917286728,19,T
1675715199.1780386,814,73601,73601,GPS1_Frame,42.33709483333334,-71.09047316666667,1.09,28.4,327785.1119955195,4689320.973483026,19,T
1675715200.1796727,815,73602,73602,GPS1_Frame,42.33709533333334,-71.09047333333334,1.09,28.2,327785.09962972644,4689321.029341772,19,T
1675715201.1791573,816,73603,73603,GPS1_Frame,42.337096,-71.09047333333334,1.1,28.0,327785.10144961765,4689321.1033700295,19,T
1675715202.1780608,817,73604,73604,GPS1_Frame,42.33709650000001,-71.09047333333334,1.1,27.8,327785.10281453596,4689321.158891223,19,T
1675715203.1762671,818,73605,73605,GPS1_Frame,42.33709716666667,-71.09047333333334,1.1,27.6,327785.10463442723,4689321.2329194825,19,T
1675715204.180954,819,73606,73606,GPS1_Frame,42.33709783333334,-71.090473,1.1,27.4,327785.13391573995,4689321.306272634,19,T
1675715205.1808586,820,73607,73607,GPS1_Frame,42.33709866666666,-71.090473,1.1,27.3,327785.13619060366,4689321.398807956,19,T
1675715206.1794024,821,73608,73608,GPS1_Frame,42.33709916666667,-71.09047283333332,1.1,27.1,327785.1512862345,4689321.453991599,19,T
1675715207.1811943,822,73609,73609,GPS1_Frame,42.33710116666666,-71.090472,1.1,26.7,327785.22539945727,4689321.674388613,19,T
1675715208.1815786,823,73610,73610,GPS1_Frame,42.33710299999999,-71.09047149999999,1.1,26.3,327785.27159628423,4689321.876953666,19,T
1675715209.1810722,824,73611,73611,GPS1_Frame,42.33710466666666,-71.09047116666667,1.1,26.0,327785.3036074274,4689322.0613492085,19,T
