Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675713724.5377576,1,72128,72128,GPS1_Frame,42.338872333333335,-71.08840933333333,1.5,72.3,327959.9869601581,4689514.173485468,19,T
1675713725.536953,2,72129,72129,GPS1_Frame,42.338876666666664,-71.08841149999999,1.44,72.5,327959.8202839815,4689514.659053085,19,T
1675713726.5405278,3,72130,72130,GPS1_Frame,42.3388765,-71.08841466666667,1.44,74.0,327959.5589533289,4689514.64695322,19,T
1675713727.53893,4,72131,72131,GPS1_Frame,42.33888100000001,-71.08842183333333,1.44,75.7,327958.9808221103,4689515.161144582,19,T
1675713728.541239,5,72132,72132,GPS1_Frame,42.338885499999996,-71.08842849999999,1.44,76.8,327958.4438819356,4689515.6743243225,19,T
1675713729.5384257,6,72133,72133,GPS1_Frame,42.338888166666656,-71.08843216666668,1.43,76.9,327958.14908759727,4689515.977856325,19,T
1675713730.540514,7,72134,72134,GPS1_Frame,42.338888166666656,-71.0884325,1.43,77.2,327958.12162695924,4689515.978530774,19,T
1675713731.5414274,8,72135,72135,GPS1_Frame,42.33888533333334,-71.0884355,1.43,78.3,327957.8667539556,4689515.669980673,19,T
1675713732.5435007,9,72136,72136,GPS1_Frame,42.33888616666666,-71.08843783333333,1.49,77.6,327957.67680220166,4689515.7672371585,19,T
1675713733.5376632,10,72137,72137,GPS1_Frame,42.3388825,-71.08844266666667,1.43,78.1,327957.26862291526,4689515.369861219,19,T
1675713734.5399618,11,72138,72138,GPS1_Frame,42.33888066666667,-71.0884475,2.04,79.0,327956.86544360116,4689515.176063042,19,T
1675713735.5404415,12,72139,72139,GPS1_Frame,42.33887816666667,-71.08845166666667,1.49,79.1,327956.5153673561,4689514.906887709,19,T
1675713736.537985,13,72140,72140,GPS1_Frame,42.33888166666667,-71.08845316666667,1.43,79.3,327956.4013399782,4689515.298571172,19,T
1675713737.5419328,14,72141,72141,GPS1_Frame,42.33888166666667,-71.08845716666666,1.43,79.0,327956.07181228115,4689515.306664644,19,T
1675713738.543799,15,72142,72142,GPS1_Frame,42.338884166666666,-71.08846483333333,1.43,80.2,327955.44703579124,4689515.599783181,19,T
1675713739.5397832,16,72143,72143,GPS1_Frame,42.33888783333334,-71.08846583333334,1.57,78.6,327955.3746539928,4689516.008962041,19,T
1675713740.5410814,17,72144,72144,GPS1_Frame,42.33888650000001,-71.08847266666666,1.43,79.8,327954.80807447736,4689515.874731944,19,T
1675713741.541582,18,72145,72145,GPS1_Frame,42.33888583333334,-71.0884765,1.43,79.3,327954.4904589107,4689515.80845999,19,T
1675713742.5455236,19,72146,72146,GPS1_Frame,42.33887916666666,-71.0884775,1.43,79.1,327954.3898948428,4689515.070200682,19,T
1675713743.5460112,20,72147,72147,GPS1_Frame,42.33888666666667,-71.08846516666668,1.13,74.5,327955.42639341217,4689515.87806365,19,T
1675713744.5455317,21,72148,72148,GPS1_Frame,42.33888516666666,-71.08846566666666,0.99,71.6,327955.38111149403,4689515.712511732,19,T
1675713745.544981,22,72149,72149,GPS1_Frame,42.338875333333334,-71.08846766666667,0.99,64.9,327955.1895291152,4689514.624641518,19,T
1675713746.5424635,23,72150,72150,GPS1_Frame,42.3388705,-71.08846799999999,0.99,60.9,327955.14888648,4689514.088611026,19,T
1675713747.5443084,24,72151,72151,GPS1_Frame,42.3388705,-71.08846933333332,0.99,61.0,327955.03904389485,4689514.091308868,19,T
1675713748.543954,25,72152,72152,GPS1_Frame,42.33887516666667,-71.08846533333333,0.99,60.5,327955.3812990763,4689514.601413234,19,T
1675713749.5425947,26,72153,72153,GPS1_Frame,42.33887183333333,-71.08846033333333,0.99,55.8,327955.7841177441,4689514.221155013,19,T
1675713750.5473819,27,72154,72154,GPS1_Frame,42.33887483333333,-71.0884635,0.99,55.0,327955.53142351797,4689514.560689577,19,T
1675713751.543531,28,72155,72155,GPS1_Frame,42.338873,-71.08846416666667,0.99,53.4,327955.4715021727,4689514.358460753,19,T
1675713752.5435615,29,72156,72156,GPS1_Frame,42.33887483333333,-71.08846566666666,0.99,53.5,327955.35292932845,4689514.565073559,19,T
1675713753.5467863,30,72157,72157,GPS1_Frame,42.3388735,-71.08846666666666,0.99,53.8,327955.266910987,4689514.419040399,19,T
1675713754.5401444,31,72158,72158,GPS1_Frame,42.33887766666667,-71.08847083333333,1.14,53.3,327954.9350167262,4689514.890147836,19,T
1675713755.5460267,32,72159,72159,GPS1_Frame,42.33888116666667,-71.08846916666667,0.99,52.5,327955.08186553186,4689515.275423946,19,T
1675713756.5423944,33,72160,72160,GPS1_Frame,42.33888650000001,-71.08847383333334,0.99,52.5,327954.7119622394,4689515.87709256,19,T
1675713757.5421724,34,72161,72161,GPS1_Frame,42.3388935,-71.08847683333333,0.99,52.6,327954.483907734,4689516.660459549,19,T
